"_id","clone_url","commit_size","full_name","gradle_num","issue_size","pom_num","repo_size","status","tesfile_num"
"dadoonet/fscrawler","https://github.com/dadoonet/fscrawler.git","1470","dadoonet/fscrawler","0","993","28","13487","true","68"
"leventov/Koloboke","https://github.com/leventov/Koloboke.git","337","leventov/Koloboke","16","33","0","39039","true","101"
"libgdx/gdx-ai","https://github.com/libgdx/gdx-ai.git","396","libgdx/gdx-ai","3","90","0","1457","true","113"
"ff4j/ff4j","https://github.com/ff4j/ff4j.git","1078","ff4j/ff4j","0","472","35","10492","true","279"
"crashub/crash","https://github.com/crashub/crash.git","1988","crashub/crash","0","112","18","20678","true","213"
"ahmetaa/zemberek-nlp","https://github.com/ahmetaa/zemberek-nlp.git","1358","ahmetaa/zemberek-nlp","0","219","17","54500","true","95"
"jfaster/mango","https://github.com/jfaster/mango.git","779","jfaster/mango","0","39","1","2790","true","151"
"jbake-org/jbake","https://github.com/jbake-org/jbake.git","994","jbake-org/jbake","3","526","0","5833","true","45"
"ron190/jsql-injection","https://github.com/ron190/jsql-injection.git","700","ron190/jsql-injection","0","94466","3","12461","true","95"
"wyh-spring-ecosystem-student/spring-boot-student","https://github.com/wyh-spring-ecosystem-student/spring-boot-student.git","505","wyh-spring-ecosystem-student/spring-boot-student","0","3","45","2756","true","123"
"eclipse/eclipse.jdt.ls","https://github.com/eclipse/eclipse.jdt.ls.git","1065","eclipse/eclipse.jdt.ls","20","1429","76","12734","true","355"
"Impetus/Kundera","https://github.com/Impetus/Kundera.git","3929","Impetus/Kundera","0","868","49","30689","true","1888"
"TheGreyGhost/MinecraftByExample","https://github.com/TheGreyGhost/MinecraftByExample.git","546","TheGreyGhost/MinecraftByExample","1","64","0","5509","true","25"
"bennidi/mbassador","https://github.com/bennidi/mbassador.git","336","bennidi/mbassador","1","146","1","2630","true","47"
"LinkedInAttic/camus","https://github.com/LinkedInAttic/camus.git","641","LinkedInAttic/camus","7","190","8","46434","true","31"
"JetBrains/xodus","https://github.com/JetBrains/xodus.git","2498","JetBrains/xodus","15","27","0","8711","true","145"
"scobal/seyren","https://github.com/scobal/seyren.git","640","scobal/seyren","0","403","7","1944","true","23"
"facebookarchive/swift","https://github.com/facebookarchive/swift.git","595","facebookarchive/swift","0","354","15","5806","true","146"
"glowroot/glowroot","https://github.com/glowroot/glowroot.git","4046","glowroot/glowroot","0","613","56","31870","true","506"
"briandilley/jsonrpc4j","https://github.com/briandilley/jsonrpc4j.git","312","briandilley/jsonrpc4j","1","221","0","1491","true","40"
"simon987/Much-Assembly-Required","https://github.com/simon987/Much-Assembly-Required.git","412","simon987/Much-Assembly-Required","0","200","8","4705","true","43"
"davidmoten/rtree","https://github.com/davidmoten/rtree.git","1124","davidmoten/rtree","0","75","1","1736","true","42"
"kaitoy/pcap4j","https://github.com/kaitoy/pcap4j.git","866","kaitoy/pcap4j","0","237","8","15222","true","67"
"PebbleTemplates/pebble","https://github.com/PebbleTemplates/pebble.git","1209","PebbleTemplates/pebble","0","543","8","3369","true","102"
"WeBankFinTech/WeIdentity","https://github.com/WeBankFinTech/WeIdentity.git","782","WeBankFinTech/WeIdentity","1","279","0","34366","true","77"
"spring-projects/spring-hateoas","https://github.com/spring-projects/spring-hateoas.git","925","spring-projects/spring-hateoas","0","1287","1","5519","true","126"
"lenskit/lenskit","https://github.com/lenskit/lenskit.git","6375","lenskit/lenskit","49","945","0","24764","true","208"
"journaldev/journaldev","https://github.com/journaldev/journaldev.git","432","journaldev/journaldev","314","32","163","29415","true","258"
"facebookarchive/nifty","https://github.com/facebookarchive/nifty.git","315","facebookarchive/nifty","0","191","6","1005","true","30"
"mapsforge/mapsforge","https://github.com/mapsforge/mapsforge.git","2110","mapsforge/mapsforge","15","1198","0","54239","true","93"
"google/conscrypt","https://github.com/google/conscrypt.git","4217","google/conscrypt","14","862","0","22802","true","151"
"hantsy/spring-reactive-sample","https://github.com/hantsy/spring-reactive-sample.git","382","hantsy/spring-reactive-sample","0","22","86","1720","true","107"
"srikanth-lingala/zip4j","https://github.com/srikanth-lingala/zip4j.git","324","srikanth-lingala/zip4j","0","286","1","3695","true","35"
"alfio-event/alf.io","https://github.com/alfio-event/alf.io.git","3340","alfio-event/alf.io","1","852","0","37396","true","102"
"spotify/mobius","https://github.com/spotify/mobius.git","376","spotify/mobius","8","133","0","803","true","96"
"vladmihalcea/flexy-pool","https://github.com/vladmihalcea/flexy-pool.git","343","vladmihalcea/flexy-pool","0","55","24","869","true","102"
"vert-x3/vertx-web","https://github.com/vert-x3/vertx-web.git","2909","vert-x3/vertx-web","0","1793","23","17700","true","196"
"leangen/graphql-spqr","https://github.com/leangen/graphql-spqr.git","380","leangen/graphql-spqr","0","332","1","1514","true","60"
"jnr/jnr-ffi","https://github.com/jnr/jnr-ffi.git","1031","jnr/jnr-ffi","0","147","1","5789","true","36"
"hibernate/hibernate-validator","https://github.com/hibernate/hibernate-validator.git","4202","hibernate/hibernate-validator","0","1147","21","30374","true","1022"
"jline/jline3","https://github.com/jline/jline3.git","2202","jline/jline3","0","624","14","6547","true","61"
"spotify/heroic","https://github.com/spotify/heroic.git","1296","spotify/heroic","24","695","0","9886","true","185"
"zalando/logbook","https://github.com/zalando/logbook.git","1697","zalando/logbook","0","978","19","4566","true","166"
"HaraldWalker/user-agent-utils","https://github.com/HaraldWalker/user-agent-utils.git","379","HaraldWalker/user-agent-utils","0","75","1","1459","true","29"
"vladmihalcea/high-performance-java-persistence","https://github.com/vladmihalcea/high-performance-java-persistence.git","870","vladmihalcea/high-performance-java-persistence","0","63","9","2538","true","881"
"pengrad/java-telegram-bot-api","https://github.com/pengrad/java-telegram-bot-api.git","473","pengrad/java-telegram-bot-api","3","222","1","1766","true","35"
"SlimeKnights/TinkersConstruct","https://github.com/SlimeKnights/TinkersConstruct.git","6389","SlimeKnights/TinkersConstruct","1","4186","0","36479","true","36"
"selendroid/selendroid","https://github.com/selendroid/selendroid.git","1344","selendroid/selendroid","9","1052","9","15750","true","101"
"bbottema/simple-java-mail","https://github.com/bbottema/simple-java-mail.git","1520","bbottema/simple-java-mail","0","294","12","13580","true","49"
"NordicSemiconductor/Android-BLE-Library","https://github.com/NordicSemiconductor/Android-BLE-Library.git","380","NordicSemiconductor/Android-BLE-Library","4","225","0","1169","true","33"
"pholser/junit-quickcheck","https://github.com/pholser/junit-quickcheck.git","1014","pholser/junit-quickcheck","0","297","5","18007","true","335"
"apache/sqoop","https://github.com/apache/sqoop.git","969","apache/sqoop","1","64","0","18789","true","368"
"wildfly/quickstart","https://github.com/wildfly/quickstart.git","2306","wildfly/quickstart","0","484","170","37815","true","97"
"bartdag/py4j","https://github.com/bartdag/py4j.git","744","bartdag/py4j","1","300","1","16472","true","86"
"mimno/Mallet","https://github.com/mimno/Mallet.git","704","mimno/Mallet","0","88","1","40896","true","56"
"opensagres/xdocreport","https://github.com/opensagres/xdocreport.git","1119","opensagres/xdocreport","0","187","72","26671","true","252"
"psiegman/epublib","https://github.com/psiegman/epublib.git","568","psiegman/epublib","0","60","3","2973","true","27"
"nasa/mct","https://github.com/nasa/mct.git","977","nasa/mct","0","267","27","8823","true","367"
"JFormDesigner/FlatLaf","https://github.com/JFormDesigner/FlatLaf.git","1426","JFormDesigner/FlatLaf","12","257","0","7154","true","38"
"Haehnchen/idea-php-symfony2-plugin","https://github.com/Haehnchen/idea-php-symfony2-plugin.git","2549","Haehnchen/idea-php-symfony2-plugin","1","1102","0","11727","true","221"
"lviggiano/owner","https://github.com/lviggiano/owner.git","975","lviggiano/owner","0","194","9","4906","true","97"
"HubSpot/Singularity","https://github.com/HubSpot/Singularity.git","11832","HubSpot/Singularity","0","2144","14","30689","true","47"
"davidmoten/rxjava-jdbc","https://github.com/davidmoten/rxjava-jdbc.git","853","davidmoten/rxjava-jdbc","0","68","1","1177","true","27"
"material-foundation/material-remixer-android","https://github.com/material-foundation/material-remixer-android.git","372","material-foundation/material-remixer-android","7","138","0","950","true","65"
"Netflix/governator","https://github.com/Netflix/governator.git","1102","Netflix/governator","14","349","0","4543","true","155"
"mvel/mvel","https://github.com/mvel/mvel.git","3101","mvel/mvel","0","180","1","14490","true","113"
"uniVocity/univocity-parsers","https://github.com/uniVocity/univocity-parsers.git","871","uniVocity/univocity-parsers","0","420","1","3437","true","230"
"actiontech/dble","https://github.com/actiontech/dble.git","3076","actiontech/dble","0","2489","1","17831","true","102"
"apache/mina","https://github.com/apache/mina.git","2401","apache/mina","0","18","16","15313","true","107"
"foxinmy/weixin4j","https://github.com/foxinmy/weixin4j.git","925","foxinmy/weixin4j","0","191","9","5623","true","67"
"inferred/FreeBuilder","https://github.com/inferred/FreeBuilder.git","972","inferred/FreeBuilder","1","395","0","4511","true","152"
"bobbylight/RSyntaxTextArea","https://github.com/bobbylight/RSyntaxTextArea.git","745","bobbylight/RSyntaxTextArea","3","281","0","12257","true","194"
"OfficeDev/ews-java-api","https://github.com/OfficeDev/ews-java-api.git","499","OfficeDev/ews-java-api","0","419","1","12133","true","32"
"yahoo/elide","https://github.com/yahoo/elide.git","2490","yahoo/elide","0","1813","22","13227","true","480"
"structurizr/java","https://github.com/structurizr/java.git","1152","structurizr/java","4","153","0","33782","true","76"
"lets-mica/mica","https://github.com/lets-mica/mica.git","731","lets-mica/mica","17","30","0","17655","true","70"
"FluentLenium/FluentLenium","https://github.com/FluentLenium/FluentLenium.git","2468","FluentLenium/FluentLenium","1","1179","47","11302","true","468"
"barbeau/gpstest","https://github.com/barbeau/gpstest.git","811","barbeau/gpstest","2","423","0","20503","true","52"
"open-telemetry/opentelemetry-java","https://github.com/open-telemetry/opentelemetry-java.git","1957","open-telemetry/opentelemetry-java","62","2865","0","11156","true","313"
"FabricMC/fabric","https://github.com/FabricMC/fabric.git","684","FabricMC/fabric","44","1007","0","3468","true","83"
"MyCATApache/Mycat2","https://github.com/MyCATApache/Mycat2.git","2655","MyCATApache/Mycat2","0","438","23","16237","true","69"
"UnderwaterApps/overlap2d","https://github.com/UnderwaterApps/overlap2d.git","1223","UnderwaterApps/overlap2d","5","294","0","13127","true","40"
"jeffheaton/aifh","https://github.com/jeffheaton/aifh.git","469","jeffheaton/aifh","4","34","0","5901","true","45"
"jfrog/project-examples","https://github.com/jfrog/project-examples.git","536","jfrog/project-examples","32","201","33","22429","true","54"
"javalite/javalite","https://github.com/javalite/javalite.git","2499","javalite/javalite","0","917","30","23877","true","525"
"Netflix/suro","https://github.com/Netflix/suro.git","554","Netflix/suro","10","219","0","4383","true","85"
"takari/polyglot-maven","https://github.com/takari/polyglot-maven.git","773","takari/polyglot-maven","0","192","157","2138","true","29"
"magro/memcached-session-manager","https://github.com/magro/memcached-session-manager.git","669","magro/memcached-session-manager","0","335","13","5794","true","86"
"webx/citrus","https://github.com/webx/citrus.git","429","webx/citrus","0","27","34","7482","true","649"
"scala-android/sbt-android","https://github.com/scala-android/sbt-android.git","1284","scala-android/sbt-android","10","324","0","9620","true","259"
"SonarSource/sonar-java","https://github.com/SonarSource/sonar-java.git","7513","SonarSource/sonar-java","0","3512","80","51433","true","2140"
"hub4j/github-api","https://github.com/hub4j/github-api.git","2774","hub4j/github-api","0","987","1","29463","true","68"
"atilika/kuromoji","https://github.com/atilika/kuromoji.git","431","atilika/kuromoji","0","110","10","5762","true","47"
"spring-projects/spring-data-rest","https://github.com/spring-projects/spring-data-rest.git","1401","spring-projects/spring-data-rest","0","1239","12","10315","true","221"
"jpmml/jpmml-evaluator","https://github.com/jpmml/jpmml-evaluator.git","1390","jpmml/jpmml-evaluator","0","197","10","7053","true","129"
"apache/griffin","https://github.com/apache/griffin.git","596","apache/griffin","0","577","5","27976","true","36"
"pippo-java/pippo","https://github.com/pippo-java/pippo.git","1403","pippo-java/pippo","0","519","55","3472","true","42"
"NightscoutFoundation/xDrip","https://github.com/NightscoutFoundation/xDrip.git","5402","NightscoutFoundation/xDrip","4","1393","0","30571","true","45"
"zalando/nakadi","https://github.com/zalando/nakadi.git","5500","zalando/nakadi","11","1226","0","12893","true","158"
"apereo/java-cas-client","https://github.com/apereo/java-cas-client.git","1002","apereo/java-cas-client","0","433","15","2151","true","41"
"jmrozanec/cron-utils","https://github.com/jmrozanec/cron-utils.git","1248","jmrozanec/cron-utils","0","457","1","2275","true","104"
"jeffheaton/encog-java-core","https://github.com/jeffheaton/encog-java-core.git","3629","jeffheaton/encog-java-core","1","194","0","32251","true","150"
"SQiShER/java-object-diff","https://github.com/SQiShER/java-object-diff.git","453","SQiShER/java-object-diff","1","165","0","2272","true","47"
"warmuuh/milkman","https://github.com/warmuuh/milkman.git","591","warmuuh/milkman","0","92","16","4124","true","38"
"pgjdbc/r2dbc-postgresql","https://github.com/pgjdbc/r2dbc-postgresql.git","577","pgjdbc/r2dbc-postgresql","0","368","1","2747","true","172"
"crossoverJie/JCSprout","https://github.com/crossoverJie/JCSprout.git","706","crossoverJie/JCSprout","0","156","1","1182","true","23"
"alibaba/arthas","https://github.com/alibaba/arthas.git","1510","alibaba/arthas","0","1580","18","22897","true","43"
"halo-dev/halo","https://github.com/halo-dev/halo.git","1963","halo-dev/halo","1","1237","0","32517","true","55"
"aliyun/aliyun-oss-java-sdk","https://github.com/aliyun/aliyun-oss-java-sdk.git","314","aliyun/aliyun-oss-java-sdk","0","263","1","9820","true","173"
"jbox2d/jbox2d","https://github.com/jbox2d/jbox2d.git","746","jbox2d/jbox2d","0","47","7","27254","true","94"
"twitter-archive/twitter-kit-android","https://github.com/twitter-archive/twitter-kit-android.git","493","twitter-archive/twitter-kit-android","13","101","0","4741","true","108"
"microsoft/mssql-jdbc","https://github.com/microsoft/mssql-jdbc.git","2137","microsoft/mssql-jdbc","1","1482","10","11943","true","173"
"apache/commons-io","https://github.com/apache/commons-io.git","2975","apache/commons-io","0","183","1","7608","true","181"
"apache/log4j","https://github.com/apache/log4j.git","3275","apache/log4j","0","0","1","13974","true","90"
"palatable/lambda","https://github.com/palatable/lambda.git","686","palatable/lambda","0","102","1","5800","true","324"
"vojtechhabarta/typescript-generator","https://github.com/vojtechhabarta/typescript-generator.git","680","vojtechhabarta/typescript-generator","2","617","7","10859","true","82"
"javers/javers","https://github.com/javers/javers.git","2742","javers/javers","9","1041","0","8616","true","93"
"spring-projects/spring-integration-samples","https://github.com/spring-projects/spring-integration-samples.git","576","spring-projects/spring-integration-samples","1","272","71","12965","true","97"
"WeBankFinTech/Linkis","https://github.com/WeBankFinTech/Linkis.git","985","WeBankFinTech/Linkis","0","559","100","15074","true","80"
"DozerMapper/dozer","https://github.com/DozerMapper/dozer.git","1068","DozerMapper/dozer","0","725","16","21281","true","645"
"camunda-cloud/zeebe","https://github.com/camunda-cloud/zeebe.git","9872","camunda-cloud/zeebe","0","6283","40","86687","true","955"
"ehcache/ehcache3","https://github.com/ehcache/ehcache3.git","4593","ehcache/ehcache3","27","2769","0","19482","true","673"
"spring-projects-experimental/spring-native","https://github.com/spring-projects-experimental/spring-native.git","1953","spring-projects-experimental/spring-native","7","592","67","7652","true","92"
"jphp-group/jphp","https://github.com/jphp-group/jphp.git","1807","jphp-group/jphp","34","385","0","12170","true","117"
"mabe02/lanterna","https://github.com/mabe02/lanterna.git","2390","mabe02/lanterna","0","469","2","12140","true","115"
"fossasia/open-event-organizer-android","https://github.com/fossasia/open-event-organizer-android.git","1109","fossasia/open-event-organizer-android","2","2157","0","63384","true","77"
"HotswapProjects/HotswapAgent","https://github.com/HotswapProjects/HotswapAgent.git","788","HotswapProjects/HotswapAgent","0","309","38","3563","true","158"
"lealone/Lealone","https://github.com/lealone/Lealone.git","1859","lealone/Lealone","0","99","15","21516","true","175"
"Arello-Mobile/Moxy","https://github.com/Arello-Mobile/Moxy.git","383","Arello-Mobile/Moxy","11","216","0","1107","true","132"
"kairosdb/kairosdb","https://github.com/kairosdb/kairosdb.git","1374","kairosdb/kairosdb","0","510","1","47689","true","122"
"hneemann/Digital","https://github.com/hneemann/Digital.git","4216","hneemann/Digital","0","630","1","38252","true","281"
"rapidoid/rapidoid","https://github.com/rapidoid/rapidoid.git","5230","rapidoid/rapidoid","0","158","12","23213","true","231"
"spring-projects/spring-batch","https://github.com/spring-projects/spring-batch.git","5631","spring-projects/spring-batch","0","3532","8","98612","true","968"
"OryxProject/oryx","https://github.com/OryxProject/oryx.git","1112","OryxProject/oryx","0","369","16","7461","true","189"
"confluentinc/kafka-rest","https://github.com/confluentinc/kafka-rest.git","2003","confluentinc/kafka-rest","0","585","2","5404","true","119"
"lukas-krecan/ShedLock","https://github.com/lukas-krecan/ShedLock.git","1215","lukas-krecan/ShedLock","0","480","32","2689","true","121"
"hamcrest/JavaHamcrest","https://github.com/hamcrest/JavaHamcrest.git","765","hamcrest/JavaHamcrest","1","212","0","19366","true","72"
"apache/hudi","https://github.com/apache/hudi.git","1440","apache/hudi","0","2603","42","30604","true","374"
"parse-community/Parse-SDK-Android","https://github.com/parse-community/Parse-SDK-Android.git","517","parse-community/Parse-SDK-Android","11","966","0","2096","true","82"
"modelmapper/modelmapper","https://github.com/modelmapper/modelmapper.git","665","modelmapper/modelmapper","0","409","12","1751","true","222"
"corona-warn-app/cwa-server","https://github.com/corona-warn-app/cwa-server.git","838","corona-warn-app/cwa-server","0","1273","11","31540","true","164"
"spring-cloud/spring-cloud-config","https://github.com/spring-cloud/spring-cloud-config.git","1536","spring-cloud/spring-cloud-config","0","1668","9","37900","true","122"
"sanluan/PublicCMS","https://github.com/sanluan/PublicCMS.git","1251","sanluan/PublicCMS","10","49","10","56409","true","99"
"unclebob/fitnesse","https://github.com/unclebob/fitnesse.git","5868","unclebob/fitnesse","2","1225","0","73779","true","599"
"stagemonitor/stagemonitor","https://github.com/stagemonitor/stagemonitor.git","1919","stagemonitor/stagemonitor","17","400","0","10345","true","155"
"qos-ch/slf4j","https://github.com/qos-ch/slf4j.git","1669","qos-ch/slf4j","0","148","14","10689","true","96"
"spotify/apollo","https://github.com/spotify/apollo.git","659","spotify/apollo","0","316","12","2677","true","106"
"spring-projects/spring-session","https://github.com/spring-projects/spring-session.git","1380","spring-projects/spring-session","1","1620","0","21511","true","158"
"cbeust/jcommander","https://github.com/cbeust/jcommander.git","987","cbeust/jcommander","1","393","0","32475","true","90"
"hugegraph/hugegraph","https://github.com/hugegraph/hugegraph.git","1230","hugegraph/hugegraph","0","960","13","9580","true","92"
"aNNiMON/Lightweight-Stream-API","https://github.com/aNNiMON/Lightweight-Stream-API.git","612","aNNiMON/Lightweight-Stream-API","3","189","0","1902","true","323"
"nisrulz/android-examples","https://github.com/nisrulz/android-examples.git","730","nisrulz/android-examples","243","20","0","91318","true","121"
"firebase/firebase-android-sdk","https://github.com/firebase/firebase-android-sdk.git","1220","firebase/firebase-android-sdk","4","2257","0","20695","true","469"
"jdbi/jdbi","https://github.com/jdbi/jdbi.git","4313","jdbi/jdbi","0","1696","26","22286","true","351"
"ta4j/ta4j","https://github.com/ta4j/ta4j.git","909","ta4j/ta4j","0","670","3","7582","true","213"
"dboissier/mongo4idea","https://github.com/dboissier/mongo4idea.git","561","dboissier/mongo4idea","1","216","0","46891","true","12"
"nginx-clojure/nginx-clojure","https://github.com/nginx-clojure/nginx-clojure.git","552","nginx-clojure/nginx-clojure","0","238","5","3541","true","60"
"plantuml/plantuml-server","https://github.com/plantuml/plantuml-server.git","325","plantuml/plantuml-server","0","95","1","6915","true","15"
"tomighty/tomighty","https://github.com/tomighty/tomighty.git","359","tomighty/tomighty","0","56","3","4236","true","22"
"FasterXML/jackson-annotations","https://github.com/FasterXML/jackson-annotations.git","746","FasterXML/jackson-annotations","0","172","1","3300","true","13"
"oracle/oracle-db-examples","https://github.com/oracle/oracle-db-examples.git","838","oracle/oracle-db-examples","0","146","3","31181","true","19"
"webbit/webbit","https://github.com/webbit/webbit.git","767","webbit/webbit","0","106","1","20032","true","38"
"techa03/goodsKill","https://github.com/techa03/goodsKill.git","655","techa03/goodsKill","0","85","25","10341","true","18"
"apache/guacamole-client","https://github.com/apache/guacamole-client.git","5663","apache/guacamole-client","0","557","24","20060","true","12"
"rakam-io/rakam-api","https://github.com/rakam-io/rakam-api.git","1760","rakam-io/rakam-api","0","111","10","27926","true","21"
"jshiell/checkstyle-idea","https://github.com/jshiell/checkstyle-idea.git","861","jshiell/checkstyle-idea","2","454","0","19069","true","19"
"enilu/web-flash","https://github.com/enilu/web-flash.git","333","enilu/web-flash","0","78","4","15780","true","11"
"AndroidVTS/android-vts","https://github.com/AndroidVTS/android-vts.git","389","AndroidVTS/android-vts","2","129","0","52035","true","15"
"gaul/s3proxy","https://github.com/gaul/s3proxy.git","824","gaul/s3proxy","0","284","1","1394","true","15"
"dunwu/javacore","https://github.com/dunwu/javacore.git","408","dunwu/javacore","0","16","12","12852","true","12"
"GcsSloop/diycode","https://github.com/GcsSloop/diycode.git","379","GcsSloop/diycode","5","6","0","1519","true","14"
"JetBrains/intellij-sdk-docs","https://github.com/JetBrains/intellij-sdk-docs.git","3193","JetBrains/intellij-sdk-docs","21","389","0","40730","true","16"
"kaikramer/keystore-explorer","https://github.com/kaikramer/keystore-explorer.git","692","kaikramer/keystore-explorer","1","189","0","34005","true","17"
"rnewson/couchdb-lucene","https://github.com/rnewson/couchdb-lucene.git","1121","rnewson/couchdb-lucene","0","206","1","3588","true","12"
"carrotsearch/hppc","https://github.com/carrotsearch/hppc.git","629","carrotsearch/hppc","6","15","0","45852","true","38"
